1:10-32-A047-A047-[S099,S099,B7753,B2408][E1412,E1425,E1425,E1412]
2:10-45-A047-A047-[S099,S099,S099,B2408,B2123,B6369][E1413,E1421,E1411,E1413,E1411,E1421]
3:18-50-A047-A047-[S099,S099,S099,B0547,B6369,B2408][E1414,E1422,E1420,E1420,E1422,E1414]
4:8-31-A047-A047-[S099,S099,B6369,B2408][E1415,E1423,E1423,E1415]
5:6-18-A047-A047-[S099,B2408][E1416,E1416]
6:4-20-A047-A069-[S099,B7753][E1426,E1426]
7:2-14-A047-A047-[S099,B6369][E1424,E1424]
8:4-44-A047-A069-[S101,S101,B3438,B3438][E1431,E1432,E1432,E1431]
9:6-41-A047-A069-[S101,S101,B3438,B3438][E1433,E1434,E1434,E1433]
10:2-26-A047-A069-[S101,B3438][E1435,E1435]
11:4-42-A047-A069-[S101,S101,B3438,B3438][E1436,E1437,E1436,E1437]
12:4-27-A047-A069-[S101,B3438][E1438,E1438]
13:4-28-A069-A069-[S102,B1593][E1443,E1443]
14:2-32-A069-A085-[S102,B3133][E1445,E1445]
15:4-33-A069-A085-[S102,B7180][E1446,E1446]
16:4-29-A069-A069-[S103,B8073][E1450,E1450]
17:4-32-A069-A069-[S103,B0017][E1447,E1447]
18:8-31-A069-A069-[S103,B2410][E1448,E1448]
19:4-35-A013-A081-[S104,B4155][E1452,E1452]
20:52-73-A069-A047-[S105,S105,B4277,B4845][E1456,E1458,E1456,E1458]
21:30-37-A069-A047-[S105,B2408][E1454,E1454]
22:18-40-A069-A069-[S105,B4277][E1457,E1457]
23:60-69-A069-A059-[S105,S105,B3431,B4970][E1455,E1459,E1455,E1459]
24:12-34-A069-A069-[S105,B1663][E1453,E1453]
25:2-28-A069-A069-[S107,B8073][E1470,E1470]
26:4-32-A069-A085-[S107,B3584][E1469,E1469]
27:2-32-A069-A085-[S107,B2147][E1468,E1468]
28:6-35-A069-A085-[S108,B2147][E1474,E1474]
29:6-37-A069-A085-[S108,B0539][E1477,E1477]
30:4-29-A069-A069-[S108,B5104][E1475,E1475]
31:2-28-A069-A069-[S108,B5104][E1476,E1476]
32:6-34-A069-A085-[S108,B2010][E1473,E1473]
33:6-32-A069-A085-[S108,B6306][E1479,E1479]
34:4-36-A069-A085-[S108,B0539][E1478,E1478]
35:18-66-A069-A003-[S108,S108,B7425,B1336][E1471,E1480,E1480,E1471]
36:2-35-A069-A047-[S110,B4845][E1486,E1486]
37:6-32-A069-A069-[S110,B2460][E1484,E1484]
38:8-35-A069-A047-[S110,B2408][E1483,E1483]
39:10-39-A069-A045-[S110,B3211][E1485,E1485]
40:6-30-A069-A069-[S112,B3395][E1497,E1497]
41:14-66-A069-A069-[S112,S112,S112,B8718,B3431,B6346][E1500,E1499,E1498,E1500,E1498,E1499]
42:6-27-A085-A085-[S115,B6741][E1504,E1504]
43:6-33-A085-A069-[S115,B4379][E1503,E1503]
44:2-23-A069-A069-[S119,B7866][E1509,E1509]
