1:4-17-A022-A022-[S094,B2243][E1401,E1401]
2:4-21-A102-A102-[S091,B6680][E1396,E1396]
3:4-26-A090-A090-[S155,B5220][E1649,E1649]
4:4-21-A005-A005-[S100,B0546][E1428,E1428]
5:2-26-A102-A102-[S093,B0670][E1400,E1400]
6:6-23-A102-A102-[S095,B8469][E1404,E1404]
7:12-49-A102-A102-[S091,B4735][E1394,E1394]
8:8-30-A102-A035-[S092,B4253][E1398,E1398]
9:6-49-A005-A102-[S097,B7817,S093,B0670][E1407,E1407,E1399,E1399]
10:4-16-A005-A005-[S100,B8132][E1429,E1429]
11:10-43-A005-A102-[S100,S095,B4127,B4127][E1427,E1403,E1427,E1403]
12:8-50-A102-A035-[S092,B2198][E1397,E1397]
13:8-23-A005-A005-[S098,B5791][E1409,E1409]
