1:137-102-[B1349,B3244,B6698,B6386]
2:136-97-[B8564,B3681,B3581]
3:127-72-[B6431,B3509]
4:130-91-[B6724,B3425,B8846]
5:135-67-[B3829,B5749]
6:138-72-[B6194,B3230]
7:127-73-[B0070,B3252]
8:133-74-[B1708,B7520]
9:119-72-[B3768,B7944]
10:99-41-[B0815]
11:120-71-[B3327,B5268]
12:139-90-[B8270,B4080,B5133]
13:112-60-[B3122,B6893]
14:140-67-[B4612,B4622]
15:112-64-[B5950,B6643]
16:136-93-[B2502,B0627,B8162]
17:135-91-[B7910,B0612,B4853]
18:136-84-[B6352,B9189,B1500]
19:102-63-[B6491,B7854]
20:125-75-[B4960,B1749]
21:128-67-[B3947,B6943]
22:140-90-[B0722,B2697,B0261]
23:118-63-[B5498,B9088]
24:65-31-[B6606]
25:119-59-[B8544,B2530]
