1:129-92-[B9038,B1283,B1200]
2:119-69-[B6466,B3642]
3:118-72-[B8406,B6522]
4:139-86-[B5473,B8655,B3583]
5:126-63-[B3312,B0168]
6:119-94-[B4463,B6914,B0251]
7:133-79-[B7457,B1507]
8:135-73-[B7287,B5397]
9:139-98-[B4825,B0708,B4819]
10:130-69-[B6732,B2686]
11:138-73-[B6115,B4306]
12:127-93-[B5196,B5865,B0757]
13:136-66-[B8810,B0437]
14:136-75-[B4721,B7678]
15:129-79-[B3280,B8821]
16:134-74-[B5508,B8701]
17:99-39-[B4884]
18:131-95-[B2361,B3399,B1492]
19:119-69-[B0603,B5530]
20:132-68-[B1664,B5503]
21:140-71-[B1090,B6061]
22:124-87-[B1392,B0031,B7123]
23:92-36-[B8735]
24:94-58-[B8131,B1192]
25:139-93-[B5719,B7722,B1599]
26:139-72-[B3121,B7458]
27:132-68-[B7397,B3685]
28:133-63-[B4640,B1354]
29:80-42-[B1752]
30:54-29-[B5762]
