1:138-129-[B4982,B3479,B1645,B2081]
2:132-92-[B1085,B5388,B7764]
3:130-115-[B4964,B4970,B7586,B7507]
4:126-87-[B6290,B1980,B6548]
5:106-68-[B0742,B7178]
6:122-70-[B4813,B2125]
7:122-70-[B6085,B7505]
8:134-70-[B5017,B3150]
9:132-71-[B6017,B1102]
10:98-57-[B7701,B8100]
11:124-114-[B4052,B7965,B1376,B4167]
12:137-90-[B8684,B6871,B3175]
13:97-55-[B7152,B1022]
14:138-69-[B3533,B4606]
15:123-63-[B4611,B0275]
16:121-89-[B7400,B0133,B8982]
17:95-42-[B3515]
18:137-81-[B4731,B6992,B2390]
19:122-70-[B2599,B0590]
20:113-64-[B8882,B5893]
21:84-32-[B6354]
22:54-29-[B4278]
