1:137-77-[B8214,B0423]
2:120-62-[B1883,B6414]
3:125-63-[B6925,B4580]
4:116-73-[B3237,B3208]
5:138-66-[B7046,B1078]
6:119-65-[B5846,B0560]
7:124-67-[B2465,B7684]
8:99-41-[B2437]
9:133-71-[B6361,B8307]
10:130-76-[B1707,B5150]
11:130-72-[B2634,B9117]
12:87-33-[B8535]
13:115-70-[B9158,B8779]
14:134-72-[B3411,B1717]
15:86-37-[B5935]
16:135-75-[B3260,B8278]
17:109-60-[B6202,B4183]
18:139-109-[B8730,B4324,B3144,B4634,B7560]
19:77-35-[B2177]
20:139-68-[B0156,B5758]
21:137-74-[B3413,B2199]
22:131-64-[B8726,B4489]
23:118-62-[B0228,B3489]
24:86-45-[B1100]
25:139-71-[B8631,B5468]
26:76-39-[B1547]
27:139-72-[B8884,B4151]
28:136-63-[B5232,B0291]
